"","X","nugget_id","nugget_page_loaded_ms","upworthy_loaded_ms","facebook_loaded_ms","youtube_loaded_ms","new_visitor","device_type","bounced","quick_exit_status","quick_exit_10","quick_exit_30","yt_video","load_all","max_load_time","log_max_load_time","max_load_time_capped","bounced_num","quick_exit_10_num","quick_exit_30_num"
"1",1,"550a0d356235630024880000",6429,6450,16653,25064,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",25064,10.129187832632,25064,1,0,0
"2",2,"550a0d356235630024880000",33119,41460,42346,NA,"Returning","Tablet","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"3",3,"550a0d356235630024880000",9848,9870,12576,14004,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",14004,9.54709828207456,14004,1,0,1
"4",4,"550a0d356235630024880000",NA,NA,17617,30289,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","No_Load",NA,NA,NA,1,0,0
"5",5,"550a0d356235630024880000",2356,2375,8606,10624,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",10624,9.27087087171621,10624,1,0,1
"6",6,"550a0d356235630024880000",1831,1837,3679,4837,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",4837,8.48404997282298,4837,1,0,0
"7",7,"550a0d356235630024880000",7612,7818,10448,NA,"Returning","Tablet","Yes","stayed_at_least_30","Stayed","Stayed","Yes","No_Load",NA,NA,NA,1,0,0
"8",8,"550a0d356235630024880000",2975,4265,11250,13167,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",13167,9.48546897835634,13167,1,0,0
"9",9,"550a0d356235630024880000",2760,2768,5250,13161,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",13161,9.48501318983432,13161,1,0,0
"10",10,"550a0d356235630024880000",11023,11041,19192,23466,"New","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",23466,10.0633078439836,23466,0,0,0
"11",11,"550a0d356235630024880000",3260,3283,4698,8431,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",8431,9.03967066792268,8431,1,0,0
"12",12,"550a0d356235630024880000",6912,6928,11880,16381,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",16381,9.70387740560463,16381,1,0,1
"13",13,"550a0d356235630024880000",3752,3790,4891,12807,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",12807,9.45774717542607,12807,1,0,0
"14",14,"550a0d356235630024880000",2951,2956,3613,NA,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"15",15,"550a0d356235630024880000",8524,8543,16832,23540,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",23540,10.0664563808143,23540,1,0,0
"16",16,"550a0d356235630024880000",2824,2831,3513,14887,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",14887,9.60824362787706,14887,1,0,1
"17",17,"550a0d356235630024880000",NA,NA,NA,15365,"New","Desktop","Yes","stayed_at_least_30","Stayed","Stayed","Yes","No_Load",NA,NA,NA,1,0,0
"18",18,"550a0d356235630024880000",34429,36572,115997,NA,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","No_Load",NA,NA,NA,1,0,0
"19",19,"550a0d356235630024880000",4050,4060,8085,12811,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",12811,9.45805945585643,12811,1,0,0
"20",20,"550a0d356235630024880000",9074,9089,10695,30841,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",30841,10.3366002525731,30841,1,0,0
"21",21,"550a0d356235630024880000",2323,2335,5862,15182,"Returning","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",15182,9.62786579457671,15182,0,0,0
"22",22,"550a0d356235630024880000",3291,3353,6248,20926,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",20926,9.94874768394099,20926,1,0,0
"23",23,"550a0d356235630024880000",NA,NA,34509,NA,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"24",24,"550a0d356235630024880000",6996,7198,NA,NA,"New","Mobile","Yes","exited_lt_10","Exited","Exited","Yes","No_Load",NA,NA,NA,1,1,1
"25",25,"550a0d356235630024880000",1319,1326,1898,12846,"Returning","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",12846,9.46078775781774,12846,0,0,0
"26",26,"550a0d356235630024880000",5564,5603,8708,23326,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",23326,10.057323897251,23326,1,0,0
"27",27,"550a0d356235630024880000",28364,29049,48520,70819,"New","Desktop","Yes","exited_lt_30","Stayed","Exited","Yes","Load",70819,11.1678826052612,35924,1,0,1
"28",28,"550a0d356235630024880000",4900,5354,12628,NA,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"29",29,"550a0d356235630024880000",4107,4689,9947,14282,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",14282,9.56675528210905,14282,1,0,1
"30",30,"550a0d356235630024880000",12046,12065,18962,23799,"Returning","Mobile","Yes","exited_lt_10","Exited","Exited","Yes","Load",23799,10.0773988419701,23799,1,1,1
"31",31,"550a0d356235630024880000",6557,17907,21510,25860,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",25860,10.1604526523258,25860,1,0,0
"32",32,"550a0d356235630024880000",3562,3581,10846,13000,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",13000,9.47270463644367,13000,1,0,0
"33",33,"550a0d356235630024880000",4263,4506,8491,12044,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",12044,9.39632188960162,12044,1,0,1
"34",34,"550a0d356235630024880000",1379,1384,2591,12997,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",12997,9.47247384058159,12997,1,0,1
"35",35,"550a0d356235630024880000",1985,1993,3275,6662,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",6662,8.80417501875363,6662,1,0,0
"36",36,"550a0d356235630024880000",2294,2506,3830,20474,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",20474,9.92691106747972,20474,1,0,1
"37",37,"550a0d356235630024880000",4262,4271,4770,13442,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",13442,9.50613941252991,13442,1,0,1
"38",38,"550a0d356235630024880000",4474,4493,7070,NA,"New","Mobile","Yes","exited_lt_10","Exited","Exited","Yes","No_Load",NA,NA,NA,1,1,1
"39",39,"550a0d356235630024880000",4252,4585,9854,15930,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",15930,9.67595940290409,15930,1,0,1
"40",40,"550a0d356235630024880000",3334,3344,4563,18114,"New","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",18114,9.80444039893489,18114,0,0,0
"41",41,"550a0d356235630024880000",2818,2831,6702,12255,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",12255,9.41368929596221,12255,1,0,0
"42",42,"550a0d356235630024880000",2500,2516,6219,16309,"New","Tablet","Yes","exited_lt_30","Stayed","Exited","Yes","Load",16309,9.69947238165692,16309,1,0,1
"43",43,"550a0d356235630024880000",29452,29467,34947,39415,"New","Tablet","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",39415,10.581901733494,35924,1,0,0
"44",44,"550a0d356235630024880000",3312,3324,12044,12555,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",12555,9.43787427159169,12555,1,0,1
"45",45,"550a0d356235630024880000",NA,NA,5524,NA,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"46",46,"550a0d356235630024880000",2346,2362,4152,NA,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
